"filename", "language", "JSON", "SCSS", "CSS", "JavaScript", "PHP", "Latte", "SQL", "YAML", "comment", "blank", "total"
"d:\wamp\www\eshopTemplate\.github\workflows\php.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 24, 4, 10, 38
"d:\wamp\www\eshopTemplate\Database\exported_database.sql", "SQL", 0, 0, 0, 0, 0, 0, 618, 0, 274, 178, 1070
"d:\wamp\www\eshopTemplate\app\classes\AddressClass.php", "PHP", 0, 0, 0, 0, 192, 0, 0, 0, 65, 19, 276
"d:\wamp\www\eshopTemplate\app\classes\CartClass.php", "PHP", 0, 0, 0, 0, 19, 0, 0, 0, 5, 6, 30
"d:\wamp\www\eshopTemplate\app\classes\CategoryClass.php", "PHP", 0, 0, 0, 0, 63, 0, 0, 0, 38, 16, 117
"d:\wamp\www\eshopTemplate\app\classes\ProductClass.php", "PHP", 0, 0, 0, 0, 48, 0, 0, 0, 5, 5, 58
"d:\wamp\www\eshopTemplate\app\classes\UserClass.php", "PHP", 0, 0, 0, 0, 194, 0, 0, 0, 90, 27, 311
"d:\wamp\www\eshopTemplate\app\config\CartConfig.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 5, 1, 12
"d:\wamp\www\eshopTemplate\app\config\DbConfig.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 5, 1, 15
"d:\wamp\www\eshopTemplate\app\config\FileUploadConfig.php", "PHP", 0, 0, 0, 0, 13, 0, 0, 0, 5, 2, 20
"d:\wamp\www\eshopTemplate\app\config\ImageOptimizerConfig.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 5, 2, 16
"d:\wamp\www\eshopTemplate\app\config\RegexConfig.php", "PHP", 0, 0, 0, 0, 20, 0, 0, 0, 5, 1, 26
"d:\wamp\www\eshopTemplate\app\config\ZasilkovnaConfig.php", "PHP", 0, 0, 0, 0, 8, 0, 0, 0, 5, 2, 15
"d:\wamp\www\eshopTemplate\app\controllers\AccountController.php", "PHP", 0, 0, 0, 0, 48, 0, 0, 0, 19, 14, 81
"d:\wamp\www\eshopTemplate\app\controllers\CategoryController.php", "PHP", 0, 0, 0, 0, 55, 0, 0, 0, 26, 12, 93
"d:\wamp\www\eshopTemplate\app\controllers\Controller.php", "PHP", 0, 0, 0, 0, 77, 0, 0, 0, 59, 19, 155
"d:\wamp\www\eshopTemplate\app\controllers\ErrorController.php", "PHP", 0, 0, 0, 0, 23, 0, 0, 0, 13, 4, 40
"d:\wamp\www\eshopTemplate\app\controllers\HandleController.php", "PHP", 0, 0, 0, 0, 124, 0, 0, 0, 41, 12, 177
"d:\wamp\www\eshopTemplate\app\controllers\HomeController.php", "PHP", 0, 0, 0, 0, 16, 0, 0, 0, 13, 4, 33
"d:\wamp\www\eshopTemplate\app\controllers\KosikController.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 14, 6, 37
"d:\wamp\www\eshopTemplate\app\controllers\ProductController.php", "PHP", 0, 0, 0, 0, 34, 0, 0, 0, 23, 7, 64
"d:\wamp\www\eshopTemplate\app\controllers\SandboxController.php", "PHP", 0, 0, 0, 0, 36, 0, 0, 0, 11, 7, 54
"d:\wamp\www\eshopTemplate\app\controllers\SignController.php", "PHP", 0, 0, 0, 0, 62, 0, 0, 0, 35, 12, 109
"d:\wamp\www\eshopTemplate\app\exceptions\AddressException.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 5, 4, 15
"d:\wamp\www\eshopTemplate\app\exceptions\SignException.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 5, 3, 14
"d:\wamp\www\eshopTemplate\app\exceptions\UserException.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 5, 4, 15
"d:\wamp\www\eshopTemplate\app\forms\ChangePassword.php", "PHP", 0, 0, 0, 0, 42, 0, 0, 0, 16, 11, 69
"d:\wamp\www\eshopTemplate\app\forms\FormFactory.php", "PHP", 0, 0, 0, 0, 47, 0, 0, 0, 12, 13, 72
"d:\wamp\www\eshopTemplate\app\forms\FullSignIn.php", "PHP", 0, 0, 0, 0, 34, 0, 0, 0, 16, 11, 61
"d:\wamp\www\eshopTemplate\app\forms\FullSignUp.php", "PHP", 0, 0, 0, 0, 115, 0, 0, 0, 23, 18, 156
"d:\wamp\www\eshopTemplate\app\forms\InvoiceAddress.php", "PHP", 0, 0, 0, 0, 72, 0, 0, 0, 17, 14, 103
"d:\wamp\www\eshopTemplate\app\forms\ShippingAddress.php", "PHP", 0, 0, 0, 0, 100, 0, 0, 0, 18, 16, 134
"d:\wamp\www\eshopTemplate\app\models\CartManager.php", "PHP", 0, 0, 0, 0, 152, 0, 0, 0, 53, 18, 223
"d:\wamp\www\eshopTemplate\app\models\CategoryManager.php", "PHP", 0, 0, 0, 0, 56, 0, 0, 0, 45, 12, 113
"d:\wamp\www\eshopTemplate\app\models\DbManager.php", "PHP", 0, 0, 0, 0, 103, 0, 0, 0, 74, 14, 191
"d:\wamp\www\eshopTemplate\app\models\FileManager.php", "PHP", 0, 0, 0, 0, 312, 0, 0, 0, 75, 12, 399
"d:\wamp\www\eshopTemplate\app\models\ImageManager.php", "PHP", 0, 0, 0, 0, 59, 0, 0, 0, 22, 9, 90
"d:\wamp\www\eshopTemplate\app\models\ProductManager.php", "PHP", 0, 0, 0, 0, 188, 0, 0, 0, 71, 22, 281
"d:\wamp\www\eshopTemplate\app\models\SignManager.php", "PHP", 0, 0, 0, 0, 90, 0, 0, 0, 59, 12, 161
"d:\wamp\www\eshopTemplate\app\models\UserManager.php", "PHP", 0, 0, 0, 0, 113, 0, 0, 0, 58, 11, 182
"d:\wamp\www\eshopTemplate\app\router\Router.php", "PHP", 0, 0, 0, 0, 61, 0, 0, 0, 27, 15, 103
"d:\wamp\www\eshopTemplate\app\views\@layout.latte", "Latte", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"d:\wamp\www\eshopTemplate\app\views\@layout_plain.latte", "Latte", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\wamp\www\eshopTemplate\app\views\Account\default.latte", "Latte", 0, 0, 0, 0, 0, 98, 0, 0, 0, 7, 105
"d:\wamp\www\eshopTemplate\app\views\Category\category_pagination.latte", "Latte", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 110
"d:\wamp\www\eshopTemplate\app\views\Category\default.latte", "Latte", 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"d:\wamp\www\eshopTemplate\app\views\Error\400.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\401.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\404.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\405.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\410.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Error\500.latte", "Latte", 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\wamp\www\eshopTemplate\app\views\Home\default.latte", "Latte", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\wamp\www\eshopTemplate\app\views\Kosik\default.latte", "Latte", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 21
"d:\wamp\www\eshopTemplate\app\views\Product\default.latte", "Latte", 0, 0, 0, 0, 0, 29, 0, 0, 0, 1, 30
"d:\wamp\www\eshopTemplate\app\views\Sandbox\default.latte", "Latte", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\eshopTemplate\app\views\Sign\In.latte", "Latte", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\eshopTemplate\app\views\Sign\Up.latte", "Latte", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\wamp\www\eshopTemplate\app\views\footer.latte", "Latte", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\wamp\www\eshopTemplate\app\views\head.latte", "Latte", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"d:\wamp\www\eshopTemplate\app\views\nav.latte", "Latte", 0, 0, 0, 0, 0, 50, 0, 0, 0, 2, 52
"d:\wamp\www\eshopTemplate\app\views\scripts.latte", "Latte", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 12
"d:\wamp\www\eshopTemplate\app\zasilkovna\uploadPacket.php", "PHP", 0, 0, 0, 0, 27, 0, 0, 0, 0, 8, 35
"d:\wamp\www\eshopTemplate\composer.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\wamp\www\eshopTemplate\composer.lock", "JSON", 1199, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1200
"d:\wamp\www\eshopTemplate\package-lock.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"d:\wamp\www\eshopTemplate\package.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\wamp\www\eshopTemplate\www\index.php", "PHP", 0, 0, 0, 0, 32, 0, 0, 0, 7, 10, 49
"d:\wamp\www\eshopTemplate\www\scripts\ajax.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"d:\wamp\www\eshopTemplate\www\scripts\ajaxFunctions.js", "JavaScript", 0, 0, 0, 124, 0, 0, 0, 0, 4, 12, 140
"d:\wamp\www\eshopTemplate\www\scripts\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\wamp\www\eshopTemplate\www\styles\style.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 1, 2, 6
"d:\wamp\www\eshopTemplate\www\styles\style.scss", "SCSS", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"Total", "-", 1270, 3, 3, 153, 2694, 437, 618, 24, 1378, 648, 7228